Rent50_2,Rent50_0,Rent50_1,Rent50_3,Rent50_4,county,State,countyname,CBSASub,Areaname,county_town_name,pop2010,state_alpha
687,436,579,930,1073,1,55,Adams County,NCNTY55001N55001,"Adams County, WI",Adams County,20875,WI
579,361,487,744,783,65,19,Fayette County,NCNTY19065N19065,"Fayette County, IA",Fayette County,20880,IA
736,438,594,985,1152,49,53,Pacific County,NCNTY53049N53049,"Pacific County, WA",Pacific County,20920,WA
566,428,431,822,844,13,1,Butler County,NCNTY01013N01013,"Butler County, AL",Butler County,20947,AL
630,375,466,785,842,147,18,Spencer County,NCNTY18147N18147,"Spencer County, IN",Spencer County,20952,IN
609,455,458,789,988,19,19,Buchanan County,NCNTY19019N19019,"Buchanan County, IA",Buchanan County,20958,IA
637,396,484,939,1128,185,37,Warren County,NCNTY37185N37185,"Warren County, NC",Warren County,20972,NC
712,447,577,1049,1219,13,41,Crook County,NCNTY41013N41013,"Crook County, OR",Crook County,20978,OR
747,444,580,981,1102,43,31,Dakota County,METRO43580M43580,"Sioux City, IA-NE-SD MSA",Dakota County,21006,NE
762,488,603,1005,1333,820,51,Waynesboro city,NCNTY51015N51015,"Augusta County-Staunton city-Waynesboro city, VA HUD Nonmetro FMR Area",Waynesboro city,21006,VA
595,471,474,791,795,91,1,Marengo County,NCNTY01091N01091,"Marengo County, AL",Marengo County,21027,AL
599,440,443,783,1061,191,19,Winneshiek County,NCNTY19191N19191,"Winneshiek County, IA",Winneshiek County,21056,IA
634,465,469,798,847,49,45,Hampton County,NCNTY45049N45049,"Hampton County, SC",Hampton County,21090,SC
713,538,541,888,1169,93,38,Stutsman County,NCNTY38093N38093,"Stutsman County, ND",Stutsman County,21100,ND
1009,673,807,1260,1435,13,25,Hampden County,METRO44140M44140,"Springfield, MA HUD Metro FMR Area",Ludlow town,21103,MA
984,715,806,1226,1467,7,44,Providence County,METRO39300M39300,"Providence-Fall River, RI-MA HUD Metro FMR Area",Lincoln town,21105,RI
686,512,515,960,1144,41,56,Uinta County,NCNTY56041N56041,"Uinta County, WY",Uinta County,21118,WY
685,428,506,906,915,217,29,Vernon County,NCNTY29217N29217,"Vernon County, MO",Vernon County,21159,MO
636,514,536,831,1126,303,13,Washington County,NCNTY13303N13303,"Washington County, GA",Washington County,21187,GA
1120,666,882,1395,1579,11,33,Hillsborough County,METRO31700MM4760,"Manchester, NH HUD Metro FMR Area",Bedford town,21203,NH
939,759,781,1380,1385,237,13,Putnam County,NCNTY13237N13237,"Putnam County, GA",Putnam County,21218,GA
626,408,483,871,918,75,18,Jay County,NCNTY18075N18075,"Jay County, IN",Jay County,21253,IN
658,483,486,820,1067,29,5,Conway County,NCNTY05029N05029,"Conway County, AR",Conway County,21273,AR
918,627,725,1246,1290,31,23,York County,METRO38860N23031,"York County, ME (part) HUD Metro FMR Area",Biddeford city,21277,ME
657,482,486,870,878,15,37,Bertie County,NCNTY37015N37015,"Bertie County, NC",Bertie County,21282,NC
1181,822,978,1740,1801,39,56,Teton County,NCNTY56039N56039,"Teton County, WY",Teton County,21294,WY
662,498,504,897,1057,167,21,Mercer County,NCNTY21167N21167,"Mercer County, KY",Mercer County,21331,KY
736,540,544,955,984,291,13,Union County,NCNTY13291N13291,"Union County, GA",Union County,21356,GA
646,474,477,811,863,79,37,Greene County,METRO24780N37079,"Greene County, NC HUD Metro FMR Area",Greene County,21362,NC
1582,1134,1267,1970,2142,17,25,Middlesex County,METRO14460MM1120,"Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",Winchester town,21374,MA
977,736,741,1363,1436,13,16,Blaine County,NCNTY16013N16013,"Blaine County, ID",Blaine County,21376,ID
675,545,569,995,1107,105,27,Nobles County,NCNTY27105N27105,"Nobles County, MN",Nobles County,21378,MN
731,537,541,913,1147,57,48,Calhoun County,METRO47020N48057,"Calhoun County, TX HUD Metro FMR Area",Calhoun County,21381,TX
636,482,485,792,900,7,49,Carbon County,NCNTY49007N49007,"Carbon County, UT",Carbon County,21403,UT
857,629,633,1263,1518,11,6,Colusa County,NCNTY06011N06011,"Colusa County, CA",Colusa County,21419,CA
690,546,549,859,999,5,21,Anderson County,NCNTY21005N21005,"Anderson County, KY",Anderson County,21421,KY
984,715,806,1226,1467,7,44,Providence County,METRO39300M39300,"Providence-Fall River, RI-MA HUD Metro FMR Area",Smithfield town,21430,RI
762,559,563,949,1214,125,55,Vilas County,NCNTY55125N55125,"Vilas County, WI",Vilas County,21430,WI
