Rent50_2,Rent50_0,Rent50_1,Rent50_3,Rent50_4,county,State,countyname,CBSASub,Areaname,county_town_name,pop2010,state_alpha
1261,843,940,1649,1732,1,25,Barnstable County,METRO12700M12700,"Barnstable Town, MA MSA",Falmouth town,31531,MA
695,546,586,986,989,53,22,Jefferson Davis Parish,NCNTY22053N22053,"Jefferson Davis Parish, LA",Jefferson Davis Parish,31594,LA
769,471,574,1041,1254,119,27,Polk County,METRO24220M24220,"Grand Forks, ND-MN MSA",Polk County,31600,MN
1582,1134,1267,1970,2142,21,25,Norfolk County,METRO14460MM1120,"Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",Franklin Town city,31635,MA
634,413,469,910,913,27,18,Daviess County,NCNTY18027N18027,"Daviess County, IN",Daviess County,31648,IN
598,439,442,745,892,59,1,Franklin County,NCNTY01059N01059,"Franklin County, AL",Franklin County,31704,AL
577,377,426,720,771,131,47,Obion County,NCNTY47131N47131,"Obion County, TN",Obion County,31807,TN
585,473,477,783,805,143,47,Rhea County,NCNTY47143N47143,"Rhea County, TN",Rhea County,31809,TN
659,484,487,821,946,115,40,Ottawa County,NCNTY40115N40115,"Ottawa County, OK",Ottawa County,31848,OK
708,572,586,1043,1147,25,48,Bee County,NCNTY48025N48025,"Bee County, TX",Bee County,31861,TX
1018,618,835,1268,1377,9,9,New Haven County,METRO35300MM8880,"Waterbury, CT HUD Metro FMR Area",Naugatuck town,31862,CT
565,415,418,814,817,121,21,Knox County,NCNTY21121N21121,"Knox County, KY",Knox County,31883,KY
1582,1134,1267,1970,2142,17,25,Middlesex County,METRO14460MM1120,"Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",Watertown city,31915,MA
642,467,518,800,858,47,42,Elk County,NCNTY42047N42047,"Elk County, PA",Elk County,31946,PA
596,438,441,878,881,69,29,Dunklin County,NCNTY29069N29069,"Dunklin County, MO",Dunklin County,31953,MO
686,436,507,1011,1215,11,46,Brookings County,NCNTY46011N46011,"Brookings County, SD",Brookings County,31965,SD
764,550,644,1053,1353,145,13,Harris County,METRO17980M17980,"Columbus, GA-AL MSA",Harris County,32024,GA
639,419,499,883,1064,65,39,Hardin County,NCNTY39065N39065,"Hardin County, OH",Hardin County,32058,OH
754,554,557,1035,1335,273,48,Kleberg County,NCNTY48273N48273,"Kleberg County, TX",Kleberg County,32061,TX
634,465,469,905,908,33,45,Dillon County,NCNTY45033N45033,"Dillon County, SC",Dillon County,32062,SC
984,715,806,1226,1467,7,44,Providence County,METRO39300M39300,"Providence-Fall River, RI-MA HUD Metro FMR Area",North Providence town,32078,RI
1582,1134,1267,1970,2142,21,25,Norfolk County,METRO14460MM1120,"Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",Randolph town,32112,MA
736,438,544,917,984,209,29,Stone County,NCNTY29209N29209,"Stone County, MO",Stone County,32202,MO
617,498,520,769,945,173,51,Smyth County,NCNTY51173N51173,"Smyth County, VA",Smyth County,32208,VA
563,348,470,701,997,25,47,Claiborne County,NCNTY47025N47025,"Claiborne County, TN",Claiborne County,32213,TN
612,494,516,762,934,141,31,Platte County,NCNTY31141N31141,"Platte County, NE",Platte County,32237,NE
681,464,574,893,1151,1,28,Adams County,NCNTY28001N28001,"Adams County, MS",Adams County,32297,MS
630,509,521,785,853,83,28,Leflore County,NCNTY28083N28083,"Leflore County, MS",Leflore County,32317,MS
612,416,516,762,1084,79,47,Henry County,NCNTY47079N47079,"Henry County, TN",Henry County,32330,TN
675,402,528,846,972,449,48,Titus County,NCNTY48449N48449,"Titus County, TX",Titus County,32334,TX
701,525,574,897,1034,9,51,Amherst County,METRO31340M31340,"Lynchburg, VA MSA",Amherst County,32353,VA
984,790,830,1294,1568,730,51,Petersburg city,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",Petersburg city,32420,VA
661,393,512,903,942,77,18,Jefferson County,NCNTY18077N18077,"Jefferson County, IN",Jefferson County,32428,IN
650,433,523,858,869,5,27,Becker County,NCNTY27005N27005,"Becker County, MN",Becker County,32504,MN
868,567,673,1131,1283,219,29,Warren County,METRO41180M41180,"St. Louis, MO-IL HUD Metro FMR Area",Warren County,32513,MO
961,705,710,1298,1504,47,49,Uintah County,NCNTY49047N49047,"Uintah County, UT",Uintah County,32588,UT
650,502,544,877,1055,101,72,Morovis Municipio,METRO41980MM7440,"San Juan-Guaynabo, PR HUD Metro FMR Area",Morovis Municipio,32610,PR
800,476,591,1003,1203,109,17,McDonough County,NCNTY17109N17109,"McDonough County, IL",McDonough County,32612,IL
919,714,748,1145,1228,19,24,Dorchester County,NCNTY24019N24019,"Dorchester County, MD",Dorchester County,32618,MD
807,584,596,1031,1403,47,26,Emmet County,NCNTY26047N26047,"Emmet County, MI",Emmet County,32694,MI
747,522,597,1025,1323,103,27,Nicollet County,METRO31860M31860,"Mankato-North Mankato, MN MSA",Nicollet County,32727,MN
617,498,520,815,890,117,51,Mecklenburg County,NCNTY51117N51117,"Mecklenburg County, VA",Mecklenburg County,32727,VA
710,422,548,972,976,165,26,Wexford County,NCNTY26165N26165,"Wexford County, MI",Wexford County,32735,MI
987,704,797,1229,1319,95,36,Schoharie County,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",Schoharie County,32749,NY
907,569,732,1243,1384,121,20,Miami County,METRO28140M28140,"Kansas City, MO-KS HUD Metro FMR Area",Miami County,32787,KS
772,574,631,1047,1179,219,13,Oconee County,METRO12020M12020,"Athens-Clarke County, GA MSA",Oconee County,32808,GA
693,560,573,947,950,261,13,Sumter County,NCNTY13261N13261,"Sumter County, GA",Sumter County,32819,GA
642,419,475,800,858,169,18,Wabash County,NCNTY18169N18169,"Wabash County, IN",Wabash County,32888,IN
598,483,504,878,881,109,1,Pike County,NCNTY01109N01109,"Pike County, AL",Pike County,32899,AL
576,449,486,767,891,59,5,Hot Spring County,NCNTY05059N05059,"Hot Spring County, AR",Hot Spring County,32923,AR
994,691,830,1238,1328,55,35,Taos County,NCNTY35055N35055,"Taos County, NM",Taos County,32937,NM
868,567,673,1131,1283,133,17,Monroe County,METRO41180M41180,"St. Louis, MO-IL HUD Metro FMR Area",Monroe County,32957,IL
1582,1134,1267,1970,2142,17,25,Middlesex County,METRO14460MM1120,"Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",Natick town,33006,MA
902,618,714,1123,1304,19,23,Penobscot County,METRO12620MM0730,"Bangor, ME HUD Metro FMR Area",Bangor city,33039,ME
634,512,535,797,933,67,45,Marion County,NCNTY45067N45067,"Marion County, SC",Marion County,33062,SC
993,729,734,1322,1485,11,24,Caroline County,NCNTY24011N24011,"Caroline County, MD",Caroline County,33066,MD
688,522,526,916,920,175,37,Transylvania County,NCNTY37175N37175,"Transylvania County, NC",Transylvania County,33090,NC
614,466,493,788,821,51,54,Marshall County,METRO48540M48540,"Wheeling, WV-OH MSA",Marshall County,33107,WV
1163,794,906,1448,1554,15,33,Rockingham County,METRO14460MM4160,"Lawrence, MA-NH HUD Metro FMR Area",Derry town,33109,NH
637,444,527,927,995,63,26,Huron County,NCNTY26063N26063,"Huron County, MI",Huron County,33118,MI
647,523,546,844,992,23,45,Chester County,NCNTY45023N45023,"Chester County, SC",Chester County,33140,SC
767,531,615,1005,1139,23,51,Botetourt County,METRO40220M40220,"Roanoke, VA HUD Metro FMR Area",Botetourt County,33148,VA
419,330,338,545,636,141,72,Utuado Municipio,NCNTY72923N72923,Puerto Rico HUD Nonmetro Area,Utuado Municipio,33149,PR
600,423,443,817,1005,89,40,McCurtain County,NCNTY40089N40089,"McCurtain County, OK",McCurtain County,33151,OK
786,631,663,1158,1162,109,51,Louisa County,METRO40060N51109,"Louisa County, VA HUD Metro FMR Area",Louisa County,33153,VA
783,633,660,975,1245,1,51,Accomack County,NCNTY51001N51001,"Accomack County, VA",Accomack County,33164,VA
640,381,473,797,963,55,18,Greene County,METRO14020N18055,"Greene County, IN HUD Metro FMR Area",Greene County,33165,IN
680,519,523,876,909,97,27,Morrison County,NCNTY27097N27097,"Morrison County, MN",Morrison County,33198,MN
1163,794,906,1448,1554,9,25,Essex County,METRO14460MM4160,"Lawrence, MA-NH HUD Metro FMR Area",Andover town,33201,MA
707,421,523,902,1015,23,18,Clinton County,NCNTY18023N18023,"Clinton County, IN",Clinton County,33224,IN
625,505,522,825,835,79,39,Jackson County,NCNTY39079N39079,"Jackson County, OH",Jackson County,33225,OH
703,502,551,905,1025,183,18,Whitley County,METRO23060M23060,"Fort Wayne, IN MSA",Whitley County,33292,IN
761,615,626,948,1348,125,19,Marion County,NCNTY19125N19125,"Marion County, IA",Marion County,33309,IA
563,383,430,701,946,103,47,Lincoln County,NCNTY47103N47103,"Lincoln County, TN",Lincoln County,33361,TN
907,569,732,1243,1384,107,29,Lafayette County,METRO28140M28140,"Kansas City, MO-KS HUD Metro FMR Area",Lafayette County,33381,MO
637,438,471,861,1006,47,22,Iberville Parish,METRO12940N22047,"Iberville Parish, LA HUD Metro FMR Area",Iberville Parish,33387,LA
924,584,779,1362,1637,259,48,Kendall County,METRO41700N48259,"Kendall County, TX HUD Metro FMR Area",Kendall County,33410,TX
694,461,516,936,1060,157,17,Randolph County,NCNTY17157N17157,"Randolph County, IL",Randolph County,33476,IL
728,534,538,907,973,73,18,Jasper County,METRO16980N18073,"Jasper County, IN HUD Metro FMR Area",Jasper County,33478,IN
875,642,647,1144,1550,137,51,Orange County,NCNTY51137N51137,"Orange County, VA",Orange County,33481,VA
664,479,503,889,892,51,18,Gibson County,METRO21780N18051,"Gibson County, IN HUD Metro FMR Area",Gibson County,33503,IN
984,715,806,1226,1467,7,44,Providence County,METRO39300M39300,"Providence-Fall River, RI-MA HUD Metro FMR Area",Cumberland town,33506,RI
827,668,698,1115,1127,77,54,Preston County,METRO34060M34060,"Morgantown, WV MSA",Preston County,33520,WV
659,392,487,891,895,111,20,Lyon County,NCNTY20111N20111,"Lyon County, KS",Lyon County,33690,KS
599,406,473,822,825,167,19,Sioux County,NCNTY19167N19167,"Sioux County, IA",Sioux County,33704,IA
867,615,725,1103,1159,477,48,Washington County,NCNTY48477N48477,"Washington County, TX",Washington County,33718,TX
1233,834,960,1536,1808,17,25,Middlesex County,METRO14460MM4560,"Lowell, MA HUD Metro FMR Area",Chelmsford town,33802,MA
688,517,554,877,1060,57,20,Ford County,NCNTY20057N20057,"Ford County, KS",Ford County,33848,KS
703,418,520,966,1138,147,48,Fannin County,NCNTY48147N48147,"Fannin County, TX",Fannin County,33915,TX
1019,718,753,1430,1709,55,37,Dare County,NCNTY37055N37055,"Dare County, NC",Dare County,33920,NC
800,587,591,996,1069,113,37,Macon County,NCNTY37113N37113,"Macon County, NC",Macon County,33922,NC
637,468,471,843,866,39,22,Evangeline Parish,NCNTY22039N22039,"Evangeline Parish, LA",Evangeline Parish,33984,LA
885,705,746,1102,1183,5,25,Bristol County,METRO39300MM5400,"New Bedford, MA HUD Metro FMR Area",Dartmouth town,34032,MA
678,498,501,844,906,11,28,Bolivar County,NCNTY28011N28011,"Bolivar County, MS",Bolivar County,34145,MS
704,459,522,877,982,151,18,Steuben County,NCNTY18151N18151,"Steuben County, IN",Steuben County,34185,IN
655,481,484,816,959,93,30,Silver Bow County,NCNTY30093N30093,"Silver Bow County, MT",Silver Bow County,34200,MT
696,511,514,867,1034,17,1,Chambers County,NCNTY01017N01017,"Chambers County, AL",Chambers County,34215,AL
637,468,471,939,1095,49,17,Effingham County,NCNTY17049N17049,"Effingham County, IL",Effingham County,34242,IL
600,411,483,817,820,81,40,Lincoln County,METRO36420N40081,"Lincoln County, OK HUD Metro FMR Area",Lincoln County,34273,OK
637,445,537,883,910,79,1,Lawrence County,METRO19460M19460,"Decatur, AL MSA",Lawrence County,34339,AL
831,628,632,1197,1472,61,20,Geary County,METRO31740M31740,"Manhattan, KS MSA",Geary County,34362,KS
626,408,495,830,1019,1,18,Adams County,NCNTY18001N18001,"Adams County, IN",Adams County,34387,IN
634,377,535,814,884,89,45,Williamsburg County,NCNTY45089N45089,"Williamsburg County, SC",Williamsburg County,34423,SC
1170,749,939,1457,1693,3,9,Hartford County,METRO25540M25540,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Glastonbury town,34427,CT
663,450,502,826,886,137,39,Putnam County,NCNTY39137N39137,"Putnam County, OH",Putnam County,34499,OH
770,518,602,1054,1265,87,40,McClain County,METRO36420M36420,"Oklahoma City, OK HUD Metro FMR Area",McClain County,34506,OK
793,482,596,1094,1206,79,20,Harvey County,METRO48620M48620,"Wichita, KS HUD Metro FMR Area",Harvey County,34684,KS
654,394,483,815,874,19,55,Clark County,NCNTY55019N55019,"Clark County, WI",Clark County,34690,WI
710,483,599,972,976,107,28,Panola County,NCNTY28107N28107,"Panola County, MS",Panola County,34707,MS
700,514,517,872,1113,21,17,Christian County,NCNTY17021N17021,"Christian County, IL",Christian County,34800,IL
852,527,655,1098,1270,117,39,Morrow County,METRO18140M18140,"Columbus, OH HUD Metro FMR Area",Morrow County,34827,OH
714,577,602,974,978,27,12,DeSoto County,NCNTY12027N12027,"DeSoto County, FL",DeSoto County,34862,FL
632,426,467,832,1020,85,28,Lincoln County,NCNTY28085N28085,"Lincoln County, MS",Lincoln County,34869,MS
637,515,537,812,1006,155,51,Pulaski County,METRO13980N51155,"Pulaski County, VA HUD Metro FMR Area",Pulaski County,34872,VA
644,434,482,831,1032,119,31,Madison County,NCNTY31119N31119,"Madison County, NE",Madison County,34876,NE
1054,737,779,1474,1479,35,6,Lassen County,NCNTY06035N06035,"Lassen County, CA",Lassen County,34895,CA
657,482,486,818,1103,27,45,Clarendon County,NCNTY45027N45027,"Clarendon County, SC",Clarendon County,34971,SC
761,453,571,1051,1055,11,17,Bureau County,NCNTY17011N17011,"Bureau County, IL",Bureau County,34978,IL
693,412,512,898,1029,227,48,Howard County,NCNTY48227N48227,"Howard County, TX",Howard County,35012,TX
984,715,806,1226,1467,3,44,Kent County,METRO39300M39300,"Providence-Fall River, RI-MA HUD Metro FMR Area",Coventry town,35014,RI
587,438,464,819,823,183,47,Weakley County,NCNTY47183N47183,"Weakley County, TN",Weakley County,35021,TN
744,527,550,1010,1074,217,48,Hill County,NCNTY48217N48217,"Hill County, TX",Hill County,35089,TX
926,623,750,1264,1563,71,48,Chambers County,METRO26420M26420,"Houston-Baytown-Sugar Land, TX HUD Metro FMR Area",Chambers County,35096,TX
579,459,484,802,816,27,72,Camuy Municipio,METRO41980MM0470,"Arecibo, PR HUD Metro FMR Area",Camuy Municipio,35159,PR
741,544,548,951,1196,223,48,Hopkins County,NCNTY48223N48223,"Hopkins County, TX",Hopkins County,35161,TX
1582,1134,1267,1970,2142,25,25,Suffolk County,METRO14460MM1120,"Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",Chelsea city,35177,MA
669,491,494,833,894,17,37,Bladen County,NCNTY37017N37017,"Bladen County, NC",Bladen County,35190,NC
742,506,626,1059,1063,99,36,Seneca County,NCNTY36099N36099,"Seneca County, NY",Seneca County,35251,NY
1130,913,939,1562,1966,93,51,Isle of Wight County,METRO47260M47260,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",Isle of Wight County,35270,VA
745,472,567,971,1081,17,27,Carlton County,METRO20260M20260,"Duluth, MN-WI MSA",Carlton County,35386,MN
625,499,502,842,985,125,20,Montgomery County,NCNTY20125N20125,"Montgomery County, KS",Montgomery County,35471,KS
687,482,579,856,1135,25,54,Greenbrier County,NCNTY54025N54025,"Greenbrier County, WV",Greenbrier County,35480,WV
448,354,373,632,758,125,72,San Germán Municipio,METRO41900M41900,"San Germán-Cabo Rojo, PR MSA",San Germán Municipio,35527,PR
703,418,520,876,939,137,17,Morgan County,NCNTY17137N17137,"Morgan County, IL",Morgan County,35547,IL
598,395,504,825,957,105,29,Laclede County,NCNTY29105N29105,"Laclede County, MO",Laclede County,35571,MO
609,394,514,786,814,9,29,Barry County,NCNTY29009N29009,"Barry County, MO",Barry County,35597,MO
1010,657,803,1258,1375,27,25,Worcester County,METRO49340M49340,"Worcester, MA HUD Metro FMR Area",Shrewsbury town,35608,MA
769,503,588,1095,1226,49,21,Clark County,METRO30460M30460,"Lexington-Fayette, KY MSA",Clark County,35613,KY
675,436,514,862,902,179,19,Wapello County,NCNTY19179N19179,"Wapello County, IA",Wapello County,35625,IA
625,459,462,844,1075,235,21,Whitley County,NCNTY21235N21235,"Whitley County, KY",Whitley County,35637,KY
740,598,613,988,1311,11,22,Beauregard Parish,NCNTY22011N22011,"Beauregard Parish, LA",Beauregard Parish,35654,LA
563,383,462,814,817,29,47,Cocke County,NCNTY47029N47029,"Cocke County, TN",Cocke County,35662,TN
759,537,590,945,1014,241,48,Jasper County,NCNTY48241N48241,"Jasper County, TX",Jasper County,35710,TX
984,790,830,1294,1568,149,51,Prince George County,METRO40060M40060,"Richmond, VA HUD Metro FMR Area",Prince George County,35725,VA
1582,1134,1267,1970,2142,21,25,Norfolk County,METRO14460MM1120,"Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",Braintree Town city,35744,MA
621,421,459,852,855,111,19,Lee County,NCNTY19111N19111,"Lee County, IA",Lee County,35862,IA
1010,688,815,1268,1534,87,22,St. Bernard Parish,METRO35380M35380,"New Orleans-Metairie-Kenner, LA MSA",St. Bernard Parish,35897,LA
745,580,605,995,1319,85,55,Oneida County,NCNTY55085N55085,"Oneida County, WI",Oneida County,35998,WI
654,436,483,890,1099,41,27,Douglas County,NCNTY27041N27041,"Douglas County, MN",Douglas County,36009,MN
1255,786,986,1642,1778,1,9,Fairfield County,METRO14860MM1160,"Bridgeport, CT HUD Metro FMR Area",Trumbull town,36018,CT
683,529,532,968,971,103,17,Lee County,NCNTY17103N17103,"Lee County, IL",Lee County,36031,IL
639,435,472,837,894,127,39,Perry County,NCNTY39127N39127,"Perry County, OH",Perry County,36058,OH
696,511,514,890,930,165,37,Scotland County,NCNTY37165N37165,"Scotland County, NC",Scotland County,36157,NC
694,468,515,1022,1026,225,29,Webster County,METRO44180M44180,"Springfield, MO HUD Metro FMR Area",Webster County,36202,MO
617,478,481,787,825,83,51,Halifax County,NCNTY51083N51083,"Halifax County, VA",Halifax County,36241,VA
657,479,516,894,1091,189,48,Hale County,NCNTY48189N48189,"Hale County, TX",Hale County,36273,TX
676,402,500,842,964,111,31,Lincoln County,NCNTY31111N31111,"Lincoln County, NE",Lincoln County,36288,NE
780,580,604,1116,1184,1,56,Albany County,NCNTY56001N56001,"Albany County, WY",Albany County,36299,WY
669,435,511,894,897,35,20,Cowley County,NCNTY20035N20035,"Cowley County, KS",Cowley County,36311,KS
684,451,506,852,914,299,13,Ware County,NCNTY13299N13299,"Ware County, GA",Ware County,36312,GA
1022,687,755,1417,1422,43,49,Summit County,METRO41620N49043,"Summit County, UT HUD Metro FMR Area",Summit County,36324,UT
1046,802,815,1325,1572,5,9,Litchfield County,NCNTY09005N09005,"Litchfield County, CT",Torrington town,36383,CT
649,423,480,826,1149,13,46,Brown County,NCNTY46013N46013,"Brown County, SD",Brown County,36531,SD
766,456,601,1056,1357,147,27,Steele County,NCNTY27147N27147,"Steele County, MN",Steele County,36576,MN
782,506,598,986,1046,1,23,Androscoggin County,METRO30340M30340,"Lewiston-Auburn, ME MSA",Lewiston city,36592,ME
681,493,503,848,971,61,26,Houghton County,NCNTY26061N26061,"Houghton County, MI",Houghton County,36628,MI
593,435,438,751,952,63,5,Independence County,NCNTY05063N05063,"Independence County, AR",Independence County,36647,AR
721,546,550,993,1062,85,27,McLeod County,NCNTY27085N27085,"McLeod County, MN",McLeod County,36651,MN
698,415,529,917,933,53,31,Dodge County,NCNTY31053N31053,"Dodge County, NE",Dodge County,36691,NE
758,451,560,1027,1343,321,48,Matagorda County,NCNTY48321N48321,"Matagorda County, TX",Matagorda County,36702,TX
593,479,500,839,842,45,54,Logan County,NCNTY54045N54045,"Logan County, WV",Logan County,36743,WV
691,449,539,873,1171,55,20,Finney County,NCNTY20055N20055,"Finney County, KS",Finney County,36776,KS
687,409,526,872,963,99,19,Jasper County,NCNTY19099N19099,"Jasper County, IA",Jasper County,36842,IA
722,458,534,899,981,45,55,Green County,NCNTY55045N55045,"Green County, WI",Green County,36842,WI
1130,913,939,1562,1966,73,51,Gloucester County,METRO47260M47260,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",Gloucester County,36858,VA
614,417,481,846,867,31,39,Coshocton County,NCNTY39031N39031,"Coshocton County, OH",Coshocton County,36901,OH
587,431,434,820,985,9,5,Boone County,NCNTY05009N05009,"Boone County, AR",Boone County,36903,AR
626,372,528,867,1019,103,18,Miami County,NCNTY18103N18103,"Miami County, IN",Miami County,36903,IN
686,408,558,906,1113,89,21,Greenup County,METRO26580M26580,"Huntington-Ashland, WV-KY-OH MSA",Greenup County,36910,KY
666,471,500,829,977,157,31,Scotts Bluff County,NCNTY31157N31157,"Scotts Bluff County, NE",Scotts Bluff County,36970,NE
661,450,489,846,883,95,28,Monroe County,NCNTY28095N28095,"Monroe County, MS",Monroe County,36989,MS
541,429,452,786,843,53,72,Fajardo Municipio,METRO21940M21940,"Fajardo, PR MSA",Fajardo Municipio,36993,PR
822,561,608,1172,1456,7,41,Clatsop County,NCNTY41007N41007,"Clatsop County, OR",Clatsop County,37039,OR
614,418,518,833,920,3,28,Alcorn County,NCNTY28003N28003,"Alcorn County, MS",Alcorn County,37057,MS
681,526,529,872,1149,57,17,Fulton County,NCNTY17057N17057,"Fulton County, IL",Fulton County,37069,IL
637,478,481,939,1026,41,26,Delta County,NCNTY26041N26041,"Delta County, MI",Delta County,37069,MI
614,461,464,765,902,83,21,Graves County,NCNTY21083N21083,"Graves County, KY",Graves County,37121,KY
693,431,520,889,926,69,18,Huntington County,NCNTY18069N18069,"Huntington County, IN",Huntington County,37124,IN
707,421,523,881,968,87,18,LaGrange County,NCNTY18087N18087,"LaGrange County, IN",LaGrange County,37128,IN
650,502,544,877,1055,47,72,Corozal Municipio,METRO41980MM7440,"San Juan-Guaynabo, PR HUD Metro FMR Area",Corozal Municipio,37142,PR
654,480,483,940,1158,93,28,Marshall County,METRO32820N28093,"Marshall County, MS HUD Metro FMR Area",Marshall County,37144,MS
673,498,560,961,964,35,21,Calloway County,NCNTY21035N21035,"Calloway County, KY",Calloway County,37191,KY
639,516,539,836,1040,3,37,Alexander County,METRO25860M25860,"Hickory-Lenoir-Morganton, NC MSA",Alexander County,37198,NC
669,398,562,986,989,9,4,Graham County,NCNTY04009N04009,"Graham County, AZ",Graham County,37220,AZ
691,536,539,1018,1224,57,16,Latah County,NCNTY16057N16057,"Latah County, ID",Latah County,37244,ID
614,433,518,824,1051,123,40,Pontotoc County,NCNTY40123N40123,"Pontotoc County, OK",Pontotoc County,37492,OK
752,552,556,968,1308,71,45,Newberry County,NCNTY45071N45071,"Newberry County, SC",Newberry County,37508,SC
671,519,523,989,1188,65,16,Madison County,NCNTY16065N16065,"Madison County, ID",Madison County,37536,ID
980,731,736,1391,1396,187,51,Warren County,METRO47900MM8820,"Warren County, VA HUD Metro FMR Area",Warren County,37575,VA
631,470,473,786,922,171,39,Williams County,NCNTY39171N39171,"Williams County, OH",Williams County,37642,OH
637,464,514,910,913,83,55,Oconto County,METRO24580N55083,"Oconto County, WI HUD Metro FMR Area",Oconto County,37660,WI
868,567,673,1131,1283,27,17,Clinton County,METRO41180M41180,"St. Louis, MO-IL HUD Metro FMR Area",Clinton County,37762,IL
583,448,451,843,936,39,1,Covington County,NCNTY01039N01039,"Covington County, AL",Covington County,37765,AL
1133,864,870,1411,1947,41,24,Talbot County,NCNTY24041N24041,"Talbot County, MD",Talbot County,37782,MD
1008,648,806,1419,1676,59,27,Isanti County,METRO33460M33460,"Minneapolis-St. Paul-Bloomington, MN-WI MSA",Isanti County,37816,MN
1009,673,807,1260,1435,15,25,Hampshire County,METRO44140M44140,"Springfield, MA HUD Metro FMR Area",Amherst town,37819,MA
1589,1272,1340,2127,2671,683,51,Manassas city,METRO47900M47900,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Manassas city,37821,VA
752,569,572,1010,1014,143,48,Erath County,NCNTY48143N48143,"Erath County, TX",Erath County,37890,TX
650,502,544,877,1055,151,72,Yabucoa Municipio,METRO41980MM7440,"San Juan-Guaynabo, PR HUD Metro FMR Area",Yabucoa Municipio,37941,PR
660,533,542,973,1117,133,18,Putnam County,METRO26900N18133,"Putnam County, IN HUD Metro FMR Area",Putnam County,37963,IN
598,481,484,850,887,187,19,Webster County,NCNTY19187N19187,"Webster County, IA",Webster County,38013,IA
1074,696,853,1454,1762,55,48,Caldwell County,METRO12420M12420,"Austin-Round Rock-San Marcos, TX MSA",Caldwell County,38066,TX
1168,695,863,1550,1886,5,6,Amador County,NCNTY06005N06005,"Amador County, CA",Amador County,38091,CA
716,426,529,918,1268,49,48,Brown County,NCNTY48049N48049,"Brown County, TX",Brown County,38106,TX
1582,1134,1267,1970,2142,17,25,Middlesex County,METRO14460MM1120,"Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",Woburn city,38120,MA
721,444,534,1010,1029,107,18,Montgomery County,NCNTY18107N18107,"Montgomery County, IN",Montgomery County,38124,IN
650,502,544,877,1055,51,72,Dorado Municipio,METRO41980MM7440,"San Juan-Guaynabo, PR HUD Metro FMR Area",Dorado Municipio,38165,PR
598,483,504,745,869,53,1,Escambia County,NCNTY01053N01053,"Escambia County, AL",Escambia County,38319,AL
623,457,460,840,843,45,47,Dyer County,NCNTY47045N47045,"Dyer County, TN",Dyer County,38335,TN
739,581,604,1066,1125,197,37,Yadkin County,METRO49180M49180,"Winston-Salem, NC MSA",Yadkin County,38406,NC
836,617,705,1142,1273,47,47,Fayette County,METRO32820M32820,"Memphis, TN-MS-AR HUD Metro FMR Area",Fayette County,38413,TN
860,512,636,1082,1523,17,53,Douglas County,METRO48300M48300,"Wenatchee-East Wenatchee, WA MSA",Douglas County,38431,WA
848,600,627,1107,1133,97,48,Cooke County,NCNTY48097N48097,"Cooke County, TX",Cooke County,38437,TX
650,485,492,811,915,83,18,Knox County,NCNTY18083N18083,"Knox County, IN",Knox County,38440,IN
784,633,654,1035,1389,9,27,Benton County,METRO41060M41060,"St. Cloud, MN MSA",Benton County,38451,MN
1582,1134,1267,1970,2142,17,25,Middlesex County,METRO14460MM1120,"Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",Marlborough city,38499,MA
722,503,547,899,965,33,26,Chippewa County,NCNTY26033N26033,"Chippewa County, MI",Chippewa County,38520,MI
625,474,477,888,1107,109,29,Lawrence County,NCNTY29109N29109,"Lawrence County, MO",Lawrence County,38634,MO
771,459,601,997,1197,203,17,Woodford County,METRO37900M37900,"Peoria, IL MSA",Woodford County,38664,IL
650,502,544,877,1055,85,72,Las Piedras Municipio,METRO41980MM7440,"San Juan-Guaynabo, PR HUD Metro FMR Area",Las Piedras Municipio,38675,PR
670,487,548,834,895,59,42,Greene County,NCNTY42059N42059,"Greene County, PA",Greene County,38686,PA
666,507,529,898,1158,81,17,Jefferson County,NCNTY17081N17081,"Jefferson County, IL",Jefferson County,38827,IL
737,581,585,944,985,29,45,Colleton County,NCNTY45029N45029,"Colleton County, SC",Colleton County,38892,SC
712,502,536,963,967,105,17,Livingston County,NCNTY17105N17105,"Livingston County, IL",Livingston County,38950,IL
630,411,466,785,1114,17,18,Cass County,NCNTY18017N18017,"Cass County, IN",Cass County,38966,IN
633,487,491,834,1077,39,39,Defiance County,NCNTY39039N39039,"Defiance County, OH",Defiance County,39037,OH
902,653,754,1199,1287,21,47,Cheatham County,METRO34980M34980,"Nashville-Davidson--Murfreesboro--Franklin, TN MSA",Cheatham County,39105,TN
709,461,549,1045,1241,37,20,Crawford County,NCNTY20037N20037,"Crawford County, KS",Crawford County,39134,KS
